Sale Date,Seller Name,Product Sold,Units,Money Received
2022-09-23,Baby Lo,Desk,37,57213.84
2022-12-08,Michael Johnson,Notebook,37,4548.04
2022-07-10,John Doe,Pen,19,4028.19
2022-09-08,John Doe,Pencil,58,729.64
2023-01-06,Michael Johnson,Notebook,48,2441.28
2022-11-25,David Wilson,Notebook,61,3589.85
2023-06-15,John Doe,Desk,60,151289.4
2022-10-12,Don Finn,Highlighter,69,144326.61
2023-01-29,Baby Lo,Desk,72,10123.2
2022-06-24,Jerry Fren,Pen,37,66582.61
2022-08-27,Jane Smith,Notebook,13,270.27
2022-11-30,Jerry Fren,Stapler,77,906.29
2022-12-15,John Doe,Highlighter,83,133135.32
2023-04-04,Baby Lo,Desk,31,1841.4
2023-05-26,John Doe,Desk,45,122104.8
2022-12-13,Jane Smith,Pen,46,94559.9
2022-11-28,David Wilson,Pencil,55,2878.7
2022-11-05,Don Finn,Notebook,69,10240.29
2023-04-08,Michael Johnson,Stapler,74,1488.14
2023-04-16,Don Finn,Pen,42,421.26
2022-11-25,Jane Smith,Pencil,59,147569.03
2022-06-30,Jane Smith,Notebook,75,223143.0
2022-11-10,Emily Brown,Desk,42,96843.18
2022-10-14,Don Finn,Desk,19,1173.44
2023-04-13,Emily Brown,Stapler,92,20493.0
2022-11-11,David Wilson,Desk,23,5351.18
2023-03-22,Jane Smith,Highlighter,88,5700.64
2023-01-01,Michael Johnson,Pencil,11,23362.02
2022-11-26,Baby Lo,Highlighter,15,3003.9
2022-06-23,Jane Smith,Desk,23,5058.39
2023-04-09,Jerry Fren,Stapler,50,148260.0
2022-07-22,John Doe,Pencil,14,144.34
2023-06-06,Don Finn,Notebook,18,2477.52
2022-08-02,Jerry Fren,Pen,78,1818.18
2023-03-12,Don Finn,Desk,6,11223.6
2023-03-31,Don Finn,Stapler,1,12.09
2022-08-13,Michael Johnson,Highlighter,55,159034.15
2022-10-27,Baby Lo,Pen,52,3343.6
2023-03-22,David Wilson,Pencil,81,4620.24
2023-06-12,David Wilson,Highlighter,13,673.14
2023-03-08,Emily Brown,Notebook,64,13246.72
2023-05-15,Jerry Fren,Notebook,93,2193.87
2023-05-13,Don Finn,Highlighter,16,390.08
2022-10-01,Michael Johnson,Pencil,75,4369.5
2022-12-31,Jane Smith,Notebook,32,80981.76
2023-05-16,Jane Smith,Pencil,44,2987.16
2023-06-09,Baby Lo,Desk,67,143014.18
2022-10-21,Emily Brown,Pencil,77,2019.71
2022-08-28,Michael Johnson,Notebook,57,90170.01
2023-02-07,Jane Smith,Notebook,37,4986.12
2022-07-16,Jane Smith,Highlighter,51,11812.62
2022-09-27,David Wilson,Desk,83,2229.38
2022-12-12,Jerry Fren,Desk,96,1126.08
2023-01-02,John Doe,Notebook,49,1428.84
2022-09-13,Baby Lo,Highlighter,64,1799.04
2022-07-28,Baby Lo,Notebook,70,4153.8
2023-01-15,Don Finn,Desk,21,429.03
2022-12-21,Don Finn,Highlighter,75,10623.75
2023-03-22,Baby Lo,Pencil,90,2466.0
2022-08-08,Don Finn,Highlighter,20,413.6
2022-09-02,Emily Brown,Pencil,22,1233.1
2022-08-17,Jerry Fren,Pencil,35,816.2
2022-12-08,Baby Lo,Notebook,38,1125.94
2023-04-11,Jane Smith,Highlighter,31,81265.57
2023-01-12,Jerry Fren,Pen,8,193.68
2022-08-26,Don Finn,Desk,2,47.14
2022-11-22,Baby Lo,Pen,1,140.25
2022-11-22,Michael Johnson,Pen,93,11185.11
2022-11-14,Michael Johnson,Stapler,79,151886.19
2022-06-28,Michael Johnson,Highlighter,3,378.03
2022-07-16,Jerry Fren,Stapler,84,1069.32
2023-05-09,Don Finn,Pencil,77,18637.85
2022-10-18,Jane Smith,Desk,57,1174.77
2022-08-01,Jane Smith,Pencil,34,2025.38
2023-01-17,David Wilson,Highlighter,91,924.56
2022-07-19,Emily Brown,Stapler,25,44525.25
2023-02-18,Don Finn,Desk,20,2601.0
2022-11-16,Michael Johnson,Pen,79,120253.01
2022-12-17,Jerry Fren,Stapler,99,5813.28
2022-08-15,Don Finn,Pencil,2,286.82
2023-01-15,Jerry Fren,Highlighter,79,944.05
2023-02-28,Baby Lo,Desk,84,2038.68
2022-09-19,Jerry Fren,Pencil,76,11343.0
2022-10-14,Jane Smith,Pen,66,9394.44
2022-07-10,Michael Johnson,Highlighter,22,46454.32
2022-07-17,Don Finn,Highlighter,24,1634.64
2022-06-22,Michael Johnson,Pen,60,13948.8
2022-12-03,Michael Johnson,Stapler,96,2171.52
2022-12-22,Jane Smith,Highlighter,63,1308.51
2023-06-13,John Doe,Desk,97,169312.53
2022-11-27,Michael Johnson,Pen,83,10580.01
2022-07-05,David Wilson,Pen,15,1890.45
2022-12-21,Baby Lo,Highlighter,39,9186.84
2023-01-20,Jerry Fren,Pencil,62,1395.62
2023-01-31,Baby Lo,Highlighter,55,88473.0
2023-03-05,Don Finn,Pencil,92,19088.16
2023-06-18,Emily Brown,Notebook,87,18411.81
2022-08-23,Emily Brown,Pencil,58,3896.44
2022-10-27,Don Finn,Pen,54,3159.54
2023-02-22,Baby Lo,Desk,4,494.6
2022-07-30,John Doe,Highlighter,35,961.8
2023-03-11,Michael Johnson,Pen,6,17114.64
2023-06-15,Jerry Fren,Notebook,4,816.12
2023-04-18,Emily Brown,Notebook,7,964.81
2022-10-24,John Doe,Pencil,3,6191.34
2023-05-25,Don Finn,Highlighter,87,1938.36
2022-10-12,Jane Smith,Notebook,45,10010.7
2023-04-15,Baby Lo,Notebook,79,1855.71
2022-11-19,Jane Smith,Highlighter,60,3551.4
2022-10-26,Jerry Fren,Stapler,95,275222.6
2022-10-27,Baby Lo,Stapler,38,955.32
2023-05-23,Jerry Fren,Notebook,100,1119.0
2023-04-13,Jane Smith,Desk,87,2046.24
2023-03-04,Jerry Fren,Pencil,43,5671.7
2023-04-02,Baby Lo,Pen,92,2240.2
2023-05-17,John Doe,Pen,34,8438.12
2023-03-06,Don Finn,Notebook,87,2459.49
2022-09-19,John Doe,Pen,19,2696.86
2023-04-30,Baby Lo,Notebook,99,2231.46
2022-07-29,Jane Smith,Pencil,89,144600.97
2022-08-20,Baby Lo,Stapler,99,13573.89
2022-12-13,John Doe,Notebook,26,307.84
2023-01-14,David Wilson,Notebook,97,169277.61
2023-03-15,Michael Johnson,Pen,82,189746.36
2022-09-07,Don Finn,Highlighter,84,5785.08
2022-10-26,Jerry Fren,Highlighter,80,892.8
2023-02-25,Jerry Fren,Desk,44,10083.92
2023-01-02,John Doe,Notebook,53,148316.79
2022-09-27,John Doe,Highlighter,26,276.64
2023-06-17,Michael Johnson,Stapler,7,462.77
2022-07-12,Michael Johnson,Highlighter,3,31.26
2022-12-04,Jane Smith,Highlighter,1,124.78
2022-12-26,Emily Brown,Highlighter,52,3490.24
2022-06-24,David Wilson,Stapler,45,2612.7
2022-07-29,Michael Johnson,Stapler,24,53387.28
2023-05-07,Baby Lo,Pen,69,4264.2
2023-04-01,John Doe,Notebook,33,52705.62
2023-05-19,John Doe,Highlighter,17,1143.93
2022-09-27,Jane Smith,Notebook,77,194611.34
2022-12-26,Baby Lo,Pencil,73,4388.76
2023-05-31,Baby Lo,Pencil,3,384.27
2023-06-01,Emily Brown,Pencil,22,1481.26
2022-08-12,John Doe,Pencil,10,2468.8
2022-07-29,Emily Brown,Desk,76,217225.48
2022-09-24,Jerry Fren,Notebook,6,121.08
2023-04-13,Jerry Fren,Notebook,8,95.2
2023-01-20,John Doe,Pencil,33,415.8
2023-02-01,John Doe,Stapler,79,17737.08
2022-11-19,Jane Smith,Notebook,78,19258.98
2022-09-17,Baby Lo,Pencil,92,2457.32
2022-09-30,Jane Smith,Pencil,32,861.12
2023-04-02,Baby Lo,Desk,10,23746.9
2022-10-18,Don Finn,Pencil,82,19470.08
2022-10-19,Jane Smith,Pencil,63,8677.62
2022-08-14,David Wilson,Pen,10,127.4
2023-01-31,Don Finn,Pen,7,86.24
2022-11-14,Michael Johnson,Stapler,75,4024.5
2022-10-03,Jane Smith,Pen,34,7142.04
2022-08-01,Michael Johnson,Stapler,11,2202.75
2022-09-28,Emily Brown,Notebook,29,3799.87
2022-11-24,Michael Johnson,Pen,7,873.04
2022-09-28,Jane Smith,Pen,22,46366.32
2023-04-23,Jerry Fren,Notebook,64,4411.52
2023-05-09,Don Finn,Highlighter,7,75.11
2022-07-18,Michael Johnson,Pen,28,5852.56
2022-06-30,David Wilson,Pen,15,3379.5
2023-02-01,Jane Smith,Pen,100,1105.0
2022-12-07,Jerry Fren,Desk,89,941.62
2023-04-14,Emily Brown,Pen,26,1739.92
2023-03-31,Michael Johnson,Pen,64,182835.84
2023-04-12,John Doe,Pencil,17,3617.77
2022-09-22,Don Finn,Pen,30,74501.4
2022-11-21,Baby Lo,Stapler,42,94704.96
2022-12-25,Michael Johnson,Highlighter,2,112.76
2022-08-03,Michael Johnson,Stapler,23,1558.25
2023-05-16,Michael Johnson,Pencil,32,4696.32
2023-01-03,Michael Johnson,Notebook,24,1384.32
2023-05-27,Don Finn,Highlighter,89,5962.11
2022-07-02,Jane Smith,Highlighter,26,3770.26
2023-01-22,Baby Lo,Desk,62,109563.3
2023-05-25,Don Finn,Highlighter,89,6089.38
2022-11-01,Jane Smith,Notebook,97,12475.17
2022-06-21,Emily Brown,Desk,84,4257.12
2022-12-21,Jane Smith,Pen,53,130762.13
2022-12-11,Don Finn,Stapler,63,3472.56
2022-10-11,Jane Smith,Desk,34,365.16
2022-07-11,Baby Lo,Highlighter,68,14770.28
2023-03-04,Michael Johnson,Pen,70,9613.8
2022-12-08,Baby Lo,Stapler,100,5942.0
2022-08-17,Jerry Fren,Pen,50,1108.0
2023-04-30,David Wilson,Desk,48,2478.72
2022-12-18,John Doe,Pencil,67,706.85
2023-05-09,Baby Lo,Notebook,46,1328.48
2022-09-29,Don Finn,Pen,32,326.72
2022-11-14,Don Finn,Notebook,1,2171.43
2022-12-28,David Wilson,Notebook,26,621.66
2023-02-09,Jerry Fren,Stapler,95,2654.3
2022-07-23,John Doe,Highlighter,5,1015.9
2022-11-24,Emily Brown,Pen,34,972.74
2023-01-04,John Doe,Pencil,11,1585.65
2023-04-04,Jerry Fren,Desk,43,6396.68
2022-11-05,Michael Johnson,Notebook,47,11310.55
2023-03-09,Jerry Fren,Stapler,28,664.44
2023-05-11,Jerry Fren,Stapler,11,319.0
2022-12-03,John Doe,Stapler,84,222976.32
2022-07-10,John Doe,Stapler,49,6991.81
2023-04-13,Jane Smith,Notebook,25,674.75
2022-10-31,Don Finn,Pen,92,12509.24
2023-03-20,Don Finn,Highlighter,79,10649.99
2023-02-17,Jerry Fren,Stapler,56,2827.44
2023-06-05,Emily Brown,Pencil,9,105.3
2022-11-29,Baby Lo,Pencil,67,14193.95
2022-09-06,Baby Lo,Pencil,13,35704.24
2022-10-25,Don Finn,Highlighter,72,4250.88
2022-08-03,Baby Lo,Notebook,77,10617.53
2023-06-12,David Wilson,Pencil,1,20.72
2022-10-26,Don Finn,Highlighter,83,12140.41
2023-01-23,Jane Smith,Highlighter,75,1697.25
2023-01-03,David Wilson,Highlighter,91,204434.23
2023-06-10,David Wilson,Notebook,72,17729.28
2022-08-26,David Wilson,Notebook,14,1978.76
2023-02-02,Jerry Fren,Pen,68,15890.24
2022-11-28,John Doe,Highlighter,24,612.72
2023-02-20,John Doe,Pencil,34,436.9
